Packet Interval,Average Packet Size,Flow Bytes/s,Flow IAT Mean,Fwd Header Length,Fwd IAT Min,Fwd IAT Std,Fwd Packet Length Max,Fwd Packet Length Mean,Max Packet Length,Total Length of Fwd Packets,High Correlation Count
10,0.098,0.005,0.003,0.05,0.061,0.004,0.101,0.101,0.098,0.098,0
50,0.148,0.068,0.031,0.022,0.017,0.014,0.077,0.077,0.148,0.148,0
100,0.165,0.081,0.043,0.022,0.063,0.057,0.009,0.008,0.165,0.165,0
250,0.194,0.128,0.034,0.047,0.056,0.076,0.114,0.117,0.195,0.195,0
500,0.191,0.177,0.105,0.073,0.142,0.053,0.196,0.203,0.191,0.191,0
750,0.118,0.226,0.011,0.151,0.122,0.205,0.199,0.21,0.118,0.118,0
1000,0.107,0.322,0.322,0.323,0.091,0.322,0.256,0.256,0.107,0.107,0
