Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_2,Recall_2,F1_2,Precision_3,Recall_3,F1_3,Precision_4,Recall_4,F1_4,Precision_5,Recall_5,F1_5,Precision_6,Recall_6,F1_6,Precision_7,Recall_7,F1_7,Precision_8,Recall_8,F1_8,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,Counts
SVM,combined_10_packets.csv,10,0.685,0.591,0.685,0.66,0.712,0.685,0.607,0.478,0.801,0.598,0.976,0.662,0.789,0.759,0.823,0.79,0.753,0.689,0.72,1.0,0.536,0.698,0.747,0.844,0.793,0.895,0.741,0.811,0.0,0.0,0.0,0.801,0.064,0.119,0.712,0.573,0.591,0.745,0.685,0.66,1.0
SVM,combined_50_packets.csv,50,0.706,0.623,0.706,0.689,0.736,0.706,0.633,0.485,0.868,0.622,0.994,0.74,0.849,0.856,0.773,0.812,0.804,0.878,0.84,1.0,0.483,0.652,0.774,0.837,0.804,0.933,0.738,0.824,0.0,0.0,0.0,0.774,0.117,0.204,0.736,0.604,0.623,0.772,0.706,0.689,4.0
SVM,combined_100_packets.csv,100,0.74,0.653,0.74,0.73,0.727,0.74,0.676,0.529,0.877,0.66,0.885,0.786,0.833,0.873,0.828,0.85,0.789,0.683,0.732,1.0,0.644,0.784,0.82,0.865,0.842,0.94,0.766,0.844,0.0,0.0,0.0,0.709,0.22,0.336,0.727,0.63,0.653,0.781,0.74,0.73,4.0
SVM,combined_500_packets.csv,500,0.771,0.687,0.771,0.765,0.824,0.771,0.717,0.594,0.915,0.72,0.618,0.913,0.737,0.893,0.827,0.859,0.909,0.625,0.741,1.0,0.111,0.2,0.854,0.889,0.871,0.962,0.77,0.855,0.762,0.39,0.516,0.824,0.68,0.687,0.811,0.771,0.765,,,,4.0
SVM,combined_750_packets.csv,750,0.803,0.692,0.803,0.799,0.698,0.803,0.757,0.619,0.915,0.738,0.64,1.0,0.78,0.944,0.944,0.944,0.615,0.727,0.667,0.0,0.0,0.0,0.967,0.894,0.929,0.953,0.745,0.837,0.848,0.519,0.644,0.698,0.718,0.692,0.829,0.803,0.799,,,,8.0
SVM,combined_1000_packets.csv,1000,0.808,0.717,0.808,0.8,0.737,0.808,0.763,0.621,0.914,0.74,0.733,0.917,0.815,1.0,0.902,0.949,1.0,0.875,0.933,0.0,0.0,0.0,0.904,0.94,0.922,0.944,0.817,0.876,0.696,0.39,0.5,0.737,0.719,0.717,0.819,0.808,0.8,,,,14.0
SVM,combined_5000_packets.csv,5000,0.729,0.537,0.729,0.678,0.52,0.729,0.659,0.75,0.857,0.8,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.526,1.0,0.69,0.867,0.812,0.839,1.0,0.875,0.933,0.52,0.578,0.537,0.655,0.729,0.678,,,,,,,7.0
SVM,combined_10000_packets.csv,10000,0.643,0.45,0.643,0.58,0.43,0.643,0.542,0.667,0.667,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.8,0.571,0.8,1.0,0.889,0.667,0.5,0.571,0.43,0.494,0.45,0.546,0.643,0.58,,,,,,,,,,3.0
,,Best,[1000],[1000],[1000],[1000],[500],[1000],[1000],[5000],"[500, 750]",[5000],[50],[750],[50],[1000],[750],[1000],[1000],[50],[1000],"[10, 50, 100, 500]","[5000, 10000]",[10000],[750],[1000],[750],[5000],[5000],[5000],[750],[10000],[750],[500],[5000],[1000],[750],[1000],[1000],[100],[100],[100],
