Attack Category,AUROC,Accuracy,Precision,Recall,F1 Score,True Negative,False Positive,False Negative,True Positive,ROC AUC
botnet-ares,0.4548470936761537,0.4772105742935278,0.47717085770720963,1.0,0.6460604813824316,1,6882,0,6281,0.4548470936761537
brute-ftp,0.6019514682953273,0.9396156366018782,0.9396090422627498,1.0,0.968864365745172,1,553,0,8604,0.6019514682953273
brute-http,0.6607278839040946,0.5458768873403019,0.5453488372093023,1.0,0.7057938299473289,1,391,0,469,0.6607278839040946
brute-ssh,0.5723751193765263,0.8899499060738886,0.8900892437764208,0.9998241294407316,0.9417708937298103,0,702,1,5685,0.5723751193765263
inf-dropbox,0.5780171318184129,0.6647593402894648,0.6648703267093298,0.999493670886076,0.7985436893203883,2,1990,2,3948,0.5780171318184129
inf-usb,0.7994963099925083,0.9436893203883495,0.944300518134715,0.9993145990404386,0.971028971028971,0,86,1,1458,0.7994963099925083
sql-inj,0.8541666666666666,0.8571428571428571,0.75,1.0,0.8571428571428571,18,6,0,18,0.8541666666666666
xss,0.517485754985755,0.5722713864306784,0.5739644970414202,0.9948717948717949,0.7279549718574109,0,144,1,194,0.517485754985755
