LatentDim,Attack Category,Interval,AUROC,Accuracy,Precision,Recall,F1 Score,True Negative,False Positive,False Negative,True Positive,ROC AUC
100,botnet-ares,1000,0.4654837141468158,0.5252918287937743,0.52734375,0.9926470588235294,0.6887755102040817,0,121,1,135,0.4654837141468158
200,botnet-ares,1000,0.4654837141468158,0.5252918287937743,0.52734375,0.9926470588235294,0.6887755102040817,0,121,1,135,0.4654837141468158
300,botnet-ares,1000,0.4654837141468158,0.5252918287937743,0.52734375,0.9926470588235294,0.6887755102040817,0,121,1,135,0.4654837141468158
400,botnet-ares,1000,0.4654837141468158,0.5252918287937743,0.52734375,0.9926470588235294,0.6887755102040817,0,121,1,135,0.4654837141468158
500,botnet-ares,1000,0.4654837141468158,0.5252918287937743,0.52734375,0.9926470588235294,0.6887755102040817,0,121,1,135,0.4654837141468158
