Packet Interval,Average Packet Size,Flow Bytes/s,Flow IAT Mean,Fwd Header Length,Fwd IAT Min,Fwd IAT Std,Fwd Packet Length Max,Fwd Packet Length Mean,Max Packet Length,Total Length of Fwd Packets,High Correlation Count
10,0.532,0.033,0.351,0.294,0.29,0.357,0.526,0.531,0.469,0.469,0
50,0.528,0.058,0.266,0.33,0.177,0.295,0.526,0.526,0.485,0.485,0
100,0.522,0.039,0.211,0.343,0.108,0.265,0.515,0.515,0.488,0.488,0
250,0.514,0.025,0.169,0.374,0.055,0.239,0.501,0.501,0.488,0.488,0
500,0.51,0.021,0.133,0.397,0.052,0.207,0.488,0.488,0.493,0.493,0
750,0.504,0.01,0.116,0.403,0.083,0.187,0.474,0.474,0.491,0.491,0
1000,0.507,0.019,0.079,0.414,0.08,0.156,0.483,0.483,0.497,0.497,0
5000,0.525,0.151,0.422,0.512,0.145,0.451,0.381,0.381,0.525,0.525,0
10000,0.536,0.182,0.583,0.573,0.067,0.611,0.319,0.319,0.536,0.536,0
