Packet Interval,Average Packet Size,Flow Bytes/s,Flow IAT Mean,Fwd Header Length,Fwd IAT Min,Fwd IAT Std,Fwd Packet Length Max,Fwd Packet Length Mean,Max Packet Length,Total Length of Fwd Packets,High Correlation Count
10,0.042,0.221,0.16,0.353,0.431,0.194,0.099,0.099,0.046,0.046,0
50,0.171,0.01,0.086,0.319,0.444,0.008,0.022,0.021,0.167,0.167,0
100,0.293,0.156,0.289,0.342,0.437,0.188,0.015,0.014,0.283,0.283,0
250,0.419,0.447,0.503,0.452,0.382,0.475,0.226,0.223,0.414,0.414,0
500,0.482,0.52,0.53,0.534,0.29,0.521,0.398,0.391,0.479,0.479,0
750,0.512,0.566,0.569,0.562,0.22,0.565,0.435,0.426,0.51,0.51,0
1000,0.516,0.567,0.571,0.567,0.17,0.567,0.405,0.38,0.515,0.515,0
5000,0.457,0.538,0.538,0.538,0.098,0.538,0.245,0.092,0.457,0.457,0
10000,0.477,0.545,0.545,0.545,0.268,0.545,0.183,0.163,0.477,0.477,0
