Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
329.04,272.704,4215,315.04,0.004,15752,4.34919,1.23121,4201,2688,1
228.92,35088.795,1042,214.92,0.001,10746,0.01922,0.00666,1028,2624,1
97.36,4861.029,294,83.36,0.0,4168,0.13551,0.02044,280,2632,1
235.08,28056.524,1042,221.08,0.001,11054,0.0289,0.00855,1028,2600,1
152.9,206.653,1906,138.9,0.001,6945,2.15226,0.75499,1892,2648,1
212.3,885.748,2767,197.34,0.0,9867,0.98888,0.24458,2753,2304,1
