Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
328.7,422.328,4215,314.7,0.004,12588,1.85646,0.79826,4201,2144,1
266.25,363.318,2087,252.25,0.002,10090,4.60085,0.75162,2073,2128,1
151.0,28719.373,1014,137.0,0.0,5480,0.02001,0.00539,1000,2080,1
151.95,5729.055,1042,137.95,0.001,5518,0.15172,0.0272,1028,2112,1
215.1,24003.482,1014,201.1,0.001,8044,0.03191,0.00919,1000,2080,1
114.825,184.822,596,100.825,0.001,4033,2.04241,0.6372,582,2112,1
305.825,509.567,2767,291.225,0.0,11649,1.70918,0.61556,2753,2004,1
476.9,128346.42,2974,461.4,0.001,18456,0.01455,0.00381,2960,1648,1
