Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_2,Recall_2,F1_2,Precision_3,Recall_3,F1_3,Precision_4,Recall_4,F1_4,Precision_5,Recall_5,F1_5,Precision_6,Recall_6,F1_6,Precision_7,Recall_7,F1_7,Precision_8,Recall_8,F1_8,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_750_packets.csv,750,0.856,0.864,0.856,0.857,0.907,0.856,0.823,0.687,0.840,0.756,1.000,1.000,1.000,0.981,0.981,0.981,0.917,1.000,0.957,1.000,0.500,0.667,0.984,0.939,0.961,0.902,0.836,0.868,,,,0.783,0.667,0.720,0.907,0.846,0.864,0.866,0.856,0.857
Gradient Boosting,combined_750_packets.csv,750,0.839,0.825,0.839,0.841,0.837,0.839,0.802,0.690,0.851,0.762,1.000,0.938,0.968,1.000,0.981,0.991,0.727,0.727,0.727,0.667,0.667,0.667,0.967,0.894,0.929,0.883,0.827,0.854,,,,0.761,0.648,0.700,0.837,0.817,0.825,0.849,0.839,0.841
SVM,combined_750_packets.csv,750,0.803,0.692,0.803,0.799,0.698,0.803,0.757,0.619,0.915,0.738,0.640,1.000,0.780,0.944,0.944,0.944,0.615,0.727,0.667,0.000,0.000,0.000,0.967,0.894,0.929,0.953,0.745,0.837,,,,0.848,0.519,0.644,0.698,0.718,0.692,0.829,0.803,0.799
k-NN,combined_750_packets.csv,750,0.783,0.777,0.783,0.783,0.815,0.783,0.733,0.627,0.787,0.698,0.778,0.875,0.824,0.918,0.833,0.874,0.688,1.000,0.815,1.000,0.500,0.667,0.881,0.894,0.887,0.845,0.791,0.817,,,,0.784,0.537,0.637,0.815,0.777,0.777,0.798,0.783,0.783
Logistic Regression,combined_750_packets.csv,750,0.791,0.792,0.791,0.796,0.764,0.791,0.746,0.696,0.681,0.688,0.812,0.812,0.812,0.893,0.926,0.909,0.647,1.000,0.786,0.600,1.000,0.750,0.966,0.848,0.903,0.934,0.773,0.846,,,,0.563,0.741,0.640,0.764,0.848,0.792,0.813,0.791,0.796
Random Forest,combined_1000_packets.csv,1000,0.815,0.847,0.815,0.812,0.876,0.815,0.771,0.679,0.786,0.728,1.000,0.917,0.957,1.000,0.927,0.962,1.000,1.000,1.000,1.000,0.750,0.857,0.940,0.940,0.940,0.837,0.878,0.857,,,,0.548,0.415,0.472,0.876,0.826,0.847,0.814,0.815,0.812
Gradient Boosting,combined_1000_packets.csv,1000,0.795,0.746,0.795,0.791,0.775,0.795,0.747,0.726,0.757,0.741,0.818,0.750,0.783,0.974,0.927,0.950,0.875,0.875,0.875,0.500,0.250,0.333,0.900,0.900,0.900,0.772,0.866,0.816,,,,0.636,0.512,0.568,0.775,0.730,0.746,0.792,0.795,0.791
SVM,combined_1000_packets.csv,1000,0.808,0.717,0.808,0.800,0.737,0.808,0.763,0.621,0.914,0.740,0.733,0.917,0.815,1.000,0.902,0.949,1.000,0.875,0.933,0.000,0.000,0.000,0.904,0.940,0.922,0.944,0.817,0.876,,,,0.696,0.390,0.500,0.737,0.719,0.717,0.819,0.808,0.800
k-NN,combined_1000_packets.csv,1000,0.792,0.737,0.792,0.787,0.813,0.792,0.743,0.671,0.814,0.735,0.750,0.750,0.750,0.927,0.927,0.927,0.778,0.875,0.824,1.000,0.250,0.400,0.936,0.880,0.907,0.843,0.854,0.848,,,,0.600,0.439,0.507,0.813,0.724,0.737,0.795,0.792,0.787
Logistic Regression,combined_1000_packets.csv,1000,0.808,0.828,0.808,0.811,0.839,0.808,0.765,0.693,0.743,0.717,1.000,0.917,0.957,0.927,0.927,0.927,0.667,1.000,0.800,1.000,0.750,0.857,0.957,0.880,0.917,0.872,0.829,0.850,,,,0.595,0.610,0.602,0.839,0.832,0.828,0.817,0.808,0.811
